_id,date,peptide_name,data_file,user,simulation,experimental,data_path,peptide_sequence,nanopore_name,voltage,buffer,time_sampling,added_noise,comments
39df5fd6-0d0a-403e-966d-e54ef7e1c62a,5/31/25 12:44,PeptideA,peptide_A_simulated_single_channel_data_300s_noisy_0_2_sd.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,gaussian 0.2 std dev,"3-state, Gaussian noise (0.2 std dev)"
112850e1-ac28-4afe-834e-be31774d78b2,5/31/25 12:44,PeptideA,peptide_A_simulated_single_channel_data_300s_noisy.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,gaussian 0.1 std dev,"3-state, Gaussian noise (0.1 std dev)"
ebd92233-48b1-42bb-9c71-fdfdc0324d45,5/31/25 12:44,PeptideA,peptide_A_simulated_single_channel_data_300s.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,,"3-state, Idealized, no noise"
b180df1f-e9b8-47b5-a8b0-7413df58f1df,5/31/25 12:44,PeptideB,peptide_B_simulated_single_channel_data_300s_noisy_0_2_sd.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,gaussian 0.2 std dev,"3-state, Gaussian noise (0.2 std dev)"
a2346b42-9e7a-4fb1-ac42-cf3483a2d2bd,5/31/25 12:44,PeptideB,peptide_B_simulated_single_channel_data_300s_noisy.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,gaussian 0.1 std dev,"3-state, Gaussian noise (0.1 std dev)"
c9f44751-6c55-40b4-9355-39908c1cf3b2,5/31/25 12:44,PeptideB,peptide_B_simulated_single_channel_data_300s.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,,"3-state, Idealized, no noise"
294868d8-dee3-46ce-bc8d-adccc1617fee,5/31/25 12:44,PeptideC,peptide_C_simulated_single_channel_data_300s_noisy_0_2_sd.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,gaussian 0.2 std dev,"3-state, Gaussian noise (0.2 std dev)"
5537888b-01ae-4905-9f56-3b6f39fe866b,5/31/25 12:44,PeptideC,peptide_C_simulated_single_channel_data_300s_noisy.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,gaussian 0.1 std dev,"3-state, Gaussian noise (0.1 std dev)"
10e5694f-e430-4a19-86fe-a0143df3cce6,5/31/25 12:44,PeptideC,peptide_C_simulated_single_channel_data_300s.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,,"3-state, Idealized, no noise"
efc05bdb-8162-4848-bd7d-5637bd898cf9,5/31/25 12:44,PeptideD,peptide_D_simulated_single_channel_data_300s_noisy_0_2_sd.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,gaussian 0.2 std dev,"3-state, Gaussian noise (0.2 std dev)"
d8dce119-806e-47f1-8c8e-a29d5e8f926d,5/31/25 12:44,PeptideD,peptide_D_simulated_single_channel_data_300s_noisy.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,gaussian 0.1 std dev,"3-state, Gaussian noise (0.1 std dev)"
7dbb2b2b-7991-4c46-8966-0ea8befea590,5/31/25 12:44,PeptideD,peptide_D_simulated_single_channel_data_300s.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,,"3-state, Idealized, no noise"
9e1a0393-155f-4a74-b64c-21e5b5e68953,5/31/25 12:44,PeptideE,peptide_E_simulated_single_channel_data_300s_noisy_0_2_sd.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,gaussian 0.2 std dev,"3-state, Gaussian noise (0.2 std dev)"
bf5a9369-bc30-4f65-b9b7-0365b330937b,5/31/25 12:44,PeptideE,peptide_E_simulated_single_channel_data_300s_noisy.csv,bakrantz,TRUE,FALSE,/Users/bakrantz/Documents/python/biosensor-end-to-end-current-classification/data,,,,,1000,gaussian 0.1 std dev,"3-state, Gaussian noise (0.1 std dev)"
